DRAW,DRAW_DATE,N1,N2,N3,N4,N5,N6,MULTIPLIER,ESTIMATED_JACKPOT,PRIMES,REPEATED,MEAN
995,2019-08-21,12,21,22,29,32,21,2,1,1,1,23.2
994,2019-08-17,18,21,24,30,60,20,3,1,0,1,30.6
993,2019-08-14,10,13,30,51,69,10,2,1,1,0,34.6
992,2019-08-10,35,41,44,58,59,3,3,1,2,1,47.4
991,2019-08-07,8,32,47,53,59,3,3,1,3,0,39.8
990,2019-08-03,3,6,45,66,68,13,2,1,1,0,37.6
989,2019-07-31,14,37,47,55,67,6,2,1,3,0,44.0
988,2019-07-27,1,19,31,48,61,6,2,1,3,0,32.0
987,2019-07-24,22,29,35,53,56,13,2,1,2,0,39.0
986,2019-07-20,5,26,36,64,69,19,3,1,1,0,40.0
985,2019-07-17,19,43,47,60,68,10,2,1,3,1,47.4
984,2019-07-13,13,23,32,35,68,21,3,1,2,1,34.2
983,2019-07-10,7,9,26,44,68,3,3,1,1,0,30.8
982,2019-07-06,4,8,23,46,65,1,2,1,1,0,29.2
981,2019-07-03,40,43,45,50,61,25,3,1,2,0,47.8
980,2019-06-29,13,17,24,59,62,8,2,1,3,0,35.0
979,2019-06-26,1,5,16,22,54,24,3,1,1,0,19.6
978,2019-06-22,3,6,11,14,66,21,2,1,2,0,20.0
977,2019-06-19,4,18,21,26,38,1,3,1,0,0,21.4
976,2019-06-15,8,11,14,16,49,14,3,1,1,0,19.6
975,2019-06-12,5,35,38,42,57,13,2,1,1,1,35.4
974,2019-06-08,9,13,42,48,60,18,2,1,1,0,34.4
973,2019-06-05,17,23,28,34,38,8,3,1,2,1,28.0
972,2019-06-01,6,15,34,45,52,8,2,1,0,1,30.4
971,2019-05-29,3,32,34,42,61,7,2,1,2,0,34.4
970,2019-05-25,1,2,39,43,66,2,3,1,2,0,30.2
969,2019-05-22,7,10,20,44,57,3,2,1,1,1,27.6
968,2019-05-18,2,10,25,66,67,26,4,1,2,0,34.0
967,2019-05-15,7,17,33,61,68,4,2,1,3,0,37.2
966,2019-05-11,6,8,9,37,40,26,2,1,1,0,20.0
965,2019-05-08,1,45,53,64,66,3,3,1,1,0,45.8
964,2019-05-04,6,16,23,30,61,2,2,1,2,1,27.2
963,2019-05-01,5,23,28,56,66,17,5,1,2,0,35.6
962,2019-04-27,2,29,41,45,62,6,3,1,3,0,35.8
961,2019-04-24,6,32,35,36,65,4,5,1,0,1,34.8
960,2019-04-20,3,27,30,63,65,1,3,1,1,0,37.6
959,2019-04-17,1,15,17,46,66,15,3,1,1,1,29.0
958,2019-04-13,4,17,26,32,49,10,2,1,1,0,25.6
957,2019-04-10,12,21,23,39,67,6,4,1,2,0,32.4
956,2019-04-06,15,33,43,59,60,8,3,1,2,0,42.0
955,2019-04-03,16,19,25,32,49,18,2,1,1,0,28.2
954,2019-03-30,21,52,54,64,68,4,3,1,0,0,51.8
953,2019-03-27,16,20,37,44,62,12,3,1,1,0,35.8
952,2019-03-23,24,25,52,60,66,5,3,1,0,0,45.4
951,2019-03-20,10,14,50,53,63,21,2,1,1,1,38.0
950,2019-03-16,30,34,39,53,67,11,2,1,2,0,44.6
949,2019-03-13,18,36,45,47,69,14,3,1,1,1,43.0
948,2019-03-09,5,6,45,55,59,14,3,1,2,1,34.0
947,2019-03-06,6,10,21,35,46,23,2,1,0,0,23.6
946,2019-03-02,1,19,25,27,68,21,2,1,1,0,28.0
945,2019-02-27,21,31,42,49,59,23,5,1,2,0,40.4
944,2019-02-23,4,6,14,20,32,13,2,1,0,0,15.2
943,2019-02-20,27,49,50,51,52,2,2,1,0,0,45.8
942,2019-02-16,29,30,41,48,64,1,4,1,2,0,42.4
941,2019-02-13,2,8,14,24,69,26,2,1,1,1,23.4
940,2019-02-09,1,2,3,7,39,25,3,1,3,0,10.4
939,2019-02-06,5,13,28,38,63,21,5,1,2,0,29.4
938,2019-02-02,10,17,18,43,65,13,5,1,2,0,30.6
937,2019-01-30,2,12,16,29,54,6,2,1,2,1,22.6
936,2019-01-26,8,12,20,21,32,10,4,1,0,0,18.6
935,2019-01-23,23,25,47,48,50,24,3,1,2,0,38.6
934,2019-01-19,5,8,41,65,66,20,3,1,2,0,37.0
933,2019-01-16,14,29,31,56,61,1,2,1,3,0,38.2
932,2019-01-12,7,36,48,57,58,24,2,1,1,0,41.2
931,2019-01-09,6,19,37,49,59,22,3,1,3,0,34.0
930,2019-01-05,3,7,15,27,69,19,2,1,2,0,24.2
929,2019-01-02,8,12,42,46,56,12,2,1,0,2,32.8
928,2018-12-29,12,42,51,53,62,25,2,1,1,0,44.0
927,2018-12-26,5,25,38,52,67,24,2,1,2,0,37.4
926,2018-12-22,21,28,30,40,59,26,3,1,1,0,35.6
925,2018-12-19,15,29,31,37,43,16,2,1,4,1,31.0
924,2018-12-15,8,38,43,52,55,17,3,1,1,0,39.2
923,2018-12-12,4,9,21,29,64,26,2,1,1,0,25.4
