CONCURSO,R1,R2,R3,R4,R5,FECHA
47310,9,6,9,5,7,2008-06-06
47309,1,8,3,4,2,2008-06-06
47308,8,6,9,9,8,2008-06-07
47307,7,4,6,1,0,2008-06-07
47306,5,3,3,7,6,2008-06-08
47305,8,8,9,4,4,2008-06-08
47304,2,1,0,3,3,2008-06-09
47303,9,2,0,3,7,2008-06-09
47302,5,7,2,4,4,2008-06-10
47301,7,7,7,8,5,2008-06-10
47300,8,6,4,4,8,2008-06-11
47299,3,6,6,3,3,2008-06-11
47298,3,6,4,9,0,2008-06-12
47297,2,4,2,5,4,2008-06-12
47296,8,2,0,7,3,2008-06-13
47295,2,8,8,6,6,2008-06-13
47294,2,6,5,6,2,2008-06-14
47293,0,2,7,3,9,2008-06-14
47292,7,0,9,5,2,2008-06-15
47291,5,9,2,2,3,2008-06-15
47290,7,9,8,2,5,2008-06-16
47289,5,4,5,8,5,2008-06-16
47288,0,8,6,6,4,2008-06-17
47287,6,4,3,9,7,2008-06-17
47286,2,5,0,7,1,2008-06-18
47285,4,1,9,0,0,2008-06-18
47284,4,7,0,9,4,2008-06-19
47283,6,3,6,2,0,2008-06-19
47282,5,1,1,0,5,2008-06-20
47281,9,7,4,2,3,2008-06-20
47280,0,1,5,2,0,2008-06-21
47279,4,3,0,5,5,2008-06-21
47278,1,5,9,7,7,2008-06-22
47277,0,0,4,7,0,2008-06-22
47276,1,2,1,9,3,2008-06-23
47275,8,1,0,6,9,2008-06-23
47274,5,3,1,8,9,2008-06-24
47273,9,7,4,2,8,2008-06-24
47272,4,7,3,5,7,2008-06-25
47271,8,3,9,4,0,2008-06-25
47270,0,4,5,8,0,2008-06-26
47269,1,9,5,4,6,2008-06-26
47268,0,7,0,1,7,2008-06-27
47267,7,8,1,6,7,2008-06-27
47266,2,7,9,9,9,2008-06-28
47265,5,4,3,4,1,2008-06-28
47264,2,2,1,2,3,2008-06-29
47263,9,8,1,6,5,2008-06-29
47262,9,6,8,1,7,2008-06-30
47261,6,3,9,3,4,2008-06-30
47260,5,7,2,3,9,2008-07-01
47259,6,6,0,2,6,2008-07-01
47258,8,6,3,2,4,2008-07-02
47257,8,0,2,3,4,2008-07-02
47256,2,2,5,8,2,2008-07-03
47255,5,7,9,4,7,2008-07-03
47254,1,6,2,3,7,2008-07-04
47253,1,2,1,2,2,2008-07-04
47252,0,9,2,9,4,2008-07-05
47251,9,5,7,7,0,2008-07-05
47250,0,1,2,0,9,2008-07-06
47249,0,2,8,2,0,2008-07-06
47248,1,8,5,3,7,2008-07-07
47247,6,5,9,4,4,2008-07-07
47246,8,6,8,6,2,2008-07-08
47245,7,6,5,4,0,2008-07-08
47244,5,5,0,6,6,2008-07-09
47243,2,2,6,9,9,2008-07-09
47242,7,3,5,6,3,2008-07-10
47241,5,1,5,1,5,2008-07-10
47240,3,8,4,4,4,2008-07-11
47239,0,9,4,4,4,2008-07-11
47238,4,1,0,5,0,2008-07-12
47237,5,9,8,4,7,2008-07-12
47236,9,7,0,7,1,2008-07-13
47235,5,2,0,9,1,2008-07-13
47234,3,9,3,3,7,2008-07-14
47233,3,8,3,9,0,2008-07-14
47232,6,5,1,6,8,2008-07-15
47231,2,8,2,8,8,2008-07-15
47230,4,9,8,9,5,2008-07-16
47229,0,1,1,8,6,2008-07-16
47228,1,6,9,3,0,2008-07-17
47227,1,7,1,9,6,2008-07-17
47226,6,5,3,7,3,2008-07-18
47225,9,2,0,3,1,2008-07-18
47224,3,6,0,4,7,2008-07-19
47223,1,9,7,7,9,2008-07-19
47222,2,7,8,8,6,2008-07-20
47221,5,9,5,5,8,2008-07-20
47220,7,9,1,2,0,2008-07-21
47219,7,4,9,4,2,2008-07-21
47218,5,7,2,2,0,2008-07-22
47217,2,7,7,3,6,2008-07-22
47216,1,6,0,3,1,2008-07-23
47215,9,5,7,3,0,2008-07-23
47214,8,1,2,7,4,2008-07-24
47213,2,6,8,0,3,2008-07-24
47212,1,7,4,6,5,2008-07-25
47211,0,0,3,8,8,2008-07-25
47210,3,6,9,4,1,2008-07-26
47209,2,4,8,5,2,2008-07-26
47208,5,8,5,4,6,2008-07-27
47207,9,1,9,1,3,2008-07-27
47206,2,1,1,0,0,2008-07-28
47205,2,2,7,7,9,2008-07-28
47204,6,0,8,5,2,2008-07-29
47203,9,8,2,6,0,2008-07-29
47202,1,5,6,1,6,2008-07-30
47201,2,7,0,1,2,2008-07-30
47200,7,2,5,0,6,2008-07-31
47199,2,9,4,4,2,2008-07-31
47198,3,9,2,1,7,2008-08-01
47197,6,5,7,5,3,2008-08-01
47196,2,2,9,5,9,2008-08-02
47195,8,7,3,4,9,2008-08-02
47194,2,4,3,6,6,2008-08-03
47193,7,6,6,4,3,2008-08-03
47192,9,5,0,2,3,2008-08-04
47191,9,8,4,1,2,2008-08-04
47190,0,9,5,4,1,2008-08-05
47189,6,4,5,2,0,2008-08-05
47188,0,9,6,1,3,2008-08-06
47187,5,4,6,0,7,2008-08-06
47186,3,3,2,6,3,2008-08-07
47185,8,9,2,9,9,2008-08-07
47184,9,2,1,3,5,2008-08-08
47183,1,3,9,2,2,2008-08-08
47182,1,4,2,0,7,2008-08-09
47181,7,0,2,8,0,2008-08-09
47180,5,0,3,8,1,2008-08-10
47179,5,6,4,4,0,2008-08-10
47178,0,8,9,3,1,2008-08-11
47177,2,7,1,0,5,2008-08-11
47176,0,4,1,0,5,2008-08-12
47175,8,4,3,4,6,2008-08-12
47174,0,4,9,5,9,2008-08-13
47173,5,4,0,3,5,2008-08-13
47172,9,5,9,5,5,2008-08-14
