NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS
60,25974,4,1,1,7,9,2020-11-12,1
60,25973,1,9,0,6,5,2020-11-12,1
60,25972,8,1,3,2,1,2020-11-11,2
60,25971,2,4,0,8,3,2020-11-11,2
60,25970,1,4,9,7,3,2020-11-11,2
60,25969,5,4,1,6,5,2020-11-11,2
60,25968,3,2,1,3,7,2020-11-11,4
60,25967,9,0,1,8,1,2020-11-10,0
60,25966,5,2,0,9,3,2020-11-10,3
60,25965,4,7,6,9,9,2020-11-10,1
60,25964,3,4,1,7,2,2020-11-10,3
60,25963,4,7,3,8,3,2020-11-10,3
60,25962,0,3,0,9,1,2020-11-09,1
60,25961,0,4,4,2,1,2020-11-09,1
60,25960,1,3,8,3,5,2020-11-09,3
60,25959,4,1,5,0,8,2020-11-09,1
60,25958,5,1,8,8,3,2020-11-09,2
60,25957,3,4,5,7,2,2020-11-08,4
60,25956,5,0,9,4,3,2020-11-08,2
60,25955,1,4,5,1,1,2020-11-08,1
60,25954,8,5,9,6,6,2020-11-08,1
60,25953,7,2,7,7,7,2020-11-08,5
60,25952,4,7,6,9,9,2020-11-07,1
60,25951,0,9,0,2,7,2020-11-07,2
60,25950,5,9,4,9,4,2020-11-07,1
60,25949,2,9,0,0,0,2020-11-07,1
60,25948,3,1,7,6,8,2020-11-07,2
60,25947,7,3,8,8,0,2020-11-06,2
60,25946,7,9,1,8,6,2020-11-06,1
60,25945,2,4,5,3,4,2020-11-06,3
60,25944,6,1,2,8,6,2020-11-06,1
60,25943,9,6,8,3,1,2020-11-06,1
60,25942,1,3,2,3,6,2020-11-05,3
60,25941,5,1,8,8,1,2020-11-05,1
60,25940,4,6,8,3,4,2020-11-05,1
60,25939,5,3,4,5,1,2020-11-05,3
60,25938,9,4,4,7,3,2020-11-05,2
60,25937,9,1,9,1,7,2020-11-04,1
60,25936,3,8,5,0,9,2020-11-04,2
60,25935,0,5,1,7,2,2020-11-04,3
60,25934,0,6,1,7,4,2020-11-04,1
60,25933,4,2,1,9,9,2020-11-04,1
60,25932,5,6,5,7,4,2020-11-03,3
60,25931,3,5,2,8,8,2020-11-03,3
60,25930,8,8,1,9,3,2020-11-03,1
60,25929,0,4,1,2,3,2020-11-03,2
60,25928,6,3,2,6,1,2020-11-03,2
